parameter		tab
attrname		edge
usearrows		edge
arrowhead.cex		edge
loop.cex		edge
edge.col		edge
edge.lty		edge
edge.lwd		edge
edge.label		edge
edge.label.cex		edge
edge.label.col		edge
edge.len		edge
edge.curve		edge
edge.steps		edge
loop.steps		edge
uselen		edge
usecurve		edge
xlab		generic
ylab		generic
xlim		generic
ylim		generic
suppress.axes		generic
new		generic
coord		layout
jitter		layout
thresh		layout
mode		layout
displayisolates		layout
interactive		layout
pad		layout
label.pad		layout
object.scale		layout
vertices.last		layout
layout.par		layout
label		vertex
displaylabels		vertex
boxed.labels		vertex
label.pos		vertex
label.bg		vertex
vertex.sides		vertex
vertex.rot		vertex
vertex.lwd		vertex
label.cex		vertex
vertex.cex		vertex
label.col		vertex
vertex.col		vertex
label.border		vertex
vertex.border		vertex
label.lty		vertex
vertex.lty		vertex
label.lwd		vertex
